customer_key,geography_key,customer_alternate_key,title,name,birth_date,marital_status,gender,email_address,total_children,education,occupation,house_owner_flag,number_cars_owned,address_line1,address_line2,phone
1,26,AW00011000,NULL,JonV Yang,1971-10-06,M,"M         ",jon24@adventure-works.com,2,Bachelors,Professional,1,0,3761 N. 14th St,NULL,1 (11) 500 555-0162
2,37,AW00011001,NULL,EugeneL Huang,1976-05-10,S,"M         ",eugene10@adventure-works.com,3,Bachelors,Professional,0,1,2243 W St.,NULL,1 (11) 500 555-0110
3,31,AW00011002,NULL,Ruben  Torres,1971-02-09,M,"M         ",ruben35@adventure-works.com,3,Bachelors,Professional,1,1,5844 Linden Land,NULL,1 (11) 500 555-0184
4,11,AW00011003,NULL,Christy  Zhu,1973-08-14,S,"F         ",christy12@adventure-works.com,0,Bachelors,Professional,0,1,1825 Village Pl.,NULL,1 (11) 500 555-0162
5,19,AW00011004,NULL,Elizabeth  Johnson,1979-08-05,S,"F         ",elizabeth5@adventure-works.com,5,Bachelors,Professional,1,4,7553 Harness Circle,NULL,1 (11) 500 555-0131
6,22,AW00011005,NULL,Julio  Ruiz,1976-08-01,S,"M         ",julio1@adventure-works.com,0,Bachelors,Professional,1,1,7305 Humphrey Drive,NULL,1 (11) 500 555-0151
7,8,AW00011006,NULL,JanetG Alvarez,1976-12-02,S,"F         ",janet9@adventure-works.com,0,Bachelors,Professional,1,1,2612 Berry Dr,NULL,1 (11) 500 555-0184
8,40,AW00011007,NULL,Marco  Mehta,1969-11-06,M,"M         ",marco14@adventure-works.com,3,Bachelors,Professional,1,2,942 Brook Street,NULL,1 (11) 500 555-0126
9,32,AW00011008,NULL,Rob  Verhoff,1975-07-04,S,"F         ",rob4@adventure-works.com,4,Bachelors,Professional,1,3,624 Peabody Road,NULL,1 (11) 500 555-0164
10,25,AW00011009,NULL,ShannonC Carlson,1969-09-29,S,"M         ",shannon38@adventure-works.com,0,Bachelors,Professional,0,1,3839 Northgate Road,NULL,1 (11) 500 555-0110
11,22,AW00011010,NULL,JacquelynC Suarez,1969-08-05,S,"F         ",jacquelyn20@adventure-works.com,0,Bachelors,Professional,0,1,7800 Corrinne Court,NULL,1 (11) 500 555-0169
12,22,AW00011011,NULL,Curtis  Lu,1969-05-03,M,"M         ",curtis9@adventure-works.com,4,Bachelors,Professional,1,4,1224 Shoenic,NULL,1 (11) 500 555-0117
13,611,AW00011012,NULL,LaurenM Walker,1979-01-14,M,"F         ",lauren41@adventure-works.com,2,Bachelors,Management,1,2,4785 Scott Street,NULL,717-555-0164
14,543,AW00011013,NULL,IanM Jenkins,1979-08-03,M,"M         ",ian47@adventure-works.com,2,Bachelors,Management,1,3,7902 Hudson Ave.,NULL,817-555-0185
15,634,AW00011014,NULL,Sydney  Bennett,1973-11-06,S,"F         ",sydney23@adventure-works.com,3,Bachelors,Management,0,3,9011 Tank Drive,NULL,431-555-0156
16,301,AW00011015,NULL,Chloe  Young,1984-08-26,S,"F         ",chloe23@adventure-works.com,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,NULL,208-555-0142
17,329,AW00011016,NULL,WyattL Hill,1984-10-25,M,"M         ",wyatt32@adventure-works.com,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,NULL,135-555-0171
18,39,AW00011017,NULL,Shannon  Wang,1949-12-24,S,"F         ",shannon1@adventure-works.com,4,High School,Skilled Manual,1,2,7330 Saddlehill Lane,NULL,1 (11) 500 555-0195
19,32,AW00011018,NULL,ClarenceD Rai,1955-10-06,S,"M         ",clarence32@adventure-works.com,2,Partial College,Clerical,1,2,244 Rivewview,NULL,1 (11) 500 555-0137
20,52,AW00011019,NULL,LukeL Lal,1983-09-04,S,"M         ",luke18@adventure-works.com,0,High School,Skilled Manual,0,2,7832 Landing Dr,NULL,262-555-0112
21,53,AW00011020,NULL,JordanC King,1984-03-19,S,"M         ",jordan73@adventure-works.com,0,High School,Skilled Manual,0,2,7156 Rose Dr.,NULL,550-555-0163
22,536,AW00011021,NULL,Destiny  Wilson,1984-03-02,S,"F         ",destiny7@adventure-works.com,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,NULL,622-555-0158
23,609,AW00011022,NULL,EthanG Zhang,1984-04-10,M,"M         ",ethan20@adventure-works.com,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,NULL,589-555-0185
24,298,AW00011023,NULL,SethM Edwards,1984-04-09,M,"M         ",seth46@adventure-works.com,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,NULL,452-555-0188
25,311,AW00011024,NULL,Russell  Xie,1984-03-16,M,"M         ",russell7@adventure-works.com,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,NULL,746-555-0186
26,24,AW00011025,NULL,Alejandro  Beck,1951-06-22,M,"M         ",alejandro45@adventure-works.com,2,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,NULL,1 (11) 500 555-0178
27,4,AW00011026,NULL,Harold  Sai,1951-10-01,S,"M         ",harold3@adventure-works.com,2,Partial College,Clerical,0,2,8211 Leeds Ct.,NULL,1 (11) 500 555-0131
28,40,AW00011027,NULL,JessieR Zhao,1952-06-05,M,"M         ",jessie16@adventure-works.com,2,Partial College,Clerical,1,2,213 Valencia Place,NULL,1 (11) 500 555-0184
29,17,AW00011028,NULL,Jill  Jimenez,1951-10-09,M,"F         ",jill13@adventure-works.com,2,Partial College,Clerical,1,2,9111 Rose Ann Ave,NULL,1 (11) 500 555-0116
30,32,AW00011029,NULL,JimmyL Moreno,1952-06-19,M,"M         ",jimmy9@adventure-works.com,2,Partial College,Clerical,1,2,6385 Mark Twain,NULL,1 (11) 500 555-0146
31,28,AW00011030,NULL,BethanyG Yuan,1958-02-18,M,"F         ",bethany10@adventure-works.com,2,Partial High School,Clerical,1,2,636 Vine Hill Way,NULL,1 (11) 500 555-0182
32,8,AW00011031,NULL,TheresaG Ramos,1953-02-18,M,"F         ",theresa13@adventure-works.com,4,High School,Skilled Manual,1,2,6465 Detroit Ave.,NULL,1 (11) 500 555-0195
33,35,AW00011032,NULL,Denise  Stone,1952-12-08,M,"F         ",denise10@adventure-works.com,4,High School,Skilled Manual,1,2,626 Bentley Street,NULL,1 (11) 500 555-0169
34,9,AW00011033,NULL,Jaime  Nath,1958-09-19,M,"M         ",jaime41@adventure-works.com,4,High School,Skilled Manual,1,2,5927 Rainbow Dr,NULL,1 (11) 500 555-0137
35,12,AW00011034,NULL,Ebony  Gonzalez,1952-12-16,M,"F         ",ebony19@adventure-works.com,4,High School,Skilled Manual,1,2,5167 Condor Place,NULL,1 (11) 500 555-0136
36,33,AW00011035,NULL,Wendy  Dominguez,1953-08-23,M,"F         ",wendy12@adventure-works.com,2,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,NULL,1 (11) 500 555-0177
37,343,AW00011036,NULL,JenniferC Russell,1984-06-16,M,"F         ",jennifer93@adventure-works.com,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,NULL,115-555-0183
38,49,AW00011037,NULL,ChloeM Garcia,1983-05-27,S,"F         ",chloe27@adventure-works.com,0,Partial High School,Clerical,0,2,8915 Woodside Way,NULL,229-555-0112
39,6,AW00011038,NULL,DianaF Hernandez,1953-09-20,M,"F         ",diana2@adventure-works.com,2,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,NULL,1 (11) 500 555-0114
40,19,AW00011039,NULL,MarcJ Martin,1954-06-16,M,"M         ",marc3@adventure-works.com,3,Partial College,Clerical,1,2,9353 Creekside Dr.,NULL,1 (11) 500 555-0183
41,642,AW00011040,NULL,Jesse  Murphy,1983-01-29,M,"M         ",jesse15@adventure-works.com,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,NULL,961-555-0176
42,325,AW00011041,NULL,AmandaM Carter,1983-04-15,M,"F         ",amanda53@adventure-works.com,0,Partial College,Skilled Manual,1,2,5826 Escobar,NULL,295-555-0145
43,338,AW00011042,NULL,MeganJ Sanchez,1982-12-11,M,"F         ",megan28@adventure-works.com,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,NULL,404-555-0199
44,325,AW00011043,NULL,NathanM Simmons,1981-08-23,M,"M         ",nathan11@adventure-works.com,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,NULL,296-555-0181
45,25,AW00011044,NULL,AdamL Flores,1954-11-21,M,"M         ",adam10@adventure-works.com,2,Partial High School,Clerical,1,2,6935 Candle Dr,NULL,1 (11) 500 555-0163
46,8,AW00011045,NULL,LeonardG Nara,1955-11-16,S,"M         ",leonard18@adventure-works.com,3,High School,Skilled Manual,0,2,7466 La Vista Ave.,NULL,1 (11) 500 555-0151
47,6,AW00011046,NULL,Christine  Yuan,1955-09-19,M,"F         ",christine4@adventure-works.com,3,High School,Skilled Manual,1,2,2356 Orange St,NULL,1 (11) 500 555-0113
48,34,AW00011047,NULL,JaclynD Lu,1955-08-27,M,"F         ",jaclyn12@adventure-works.com,3,High School,Skilled Manual,0,2,2812 Mazatlan,NULL,1 (11) 500 555-0137
49,39,AW00011048,NULL,Jeremy  Powell,1956-05-21,M,"M         ",jeremy26@adventure-works.com,3,High School,Skilled Manual,1,2,1803 Potomac Dr.,NULL,1 (11) 500 555-0183
50,307,AW00011049,NULL,CarolC Rai,1986-01-15,S,"F         ",carol8@adventure-works.com,0,Partial High School,Clerical,1,2,6064 Madrid,NULL,654-555-0180
51,31,AW00011050,NULL,Alan  Zheng,1957-03-06,M,"M         ",alan23@adventure-works.com,3,High School,Skilled Manual,1,2,2741 Gainborough Dr.,NULL,1 (11) 500 555-0135
52,21,AW00011051,NULL,Daniel  Johnson,1957-01-31,S,"M         ",daniel18@adventure-works.com,3,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,NULL,1 (11) 500 555-0155
53,8,AW00011052,NULL,Heidi  Lopez,1957-02-03,S,"F         ",heidi19@adventure-works.com,2,Partial College,Clerical,0,2,2514 Via Cordona,NULL,1 (11) 500 555-0168
54,359,AW00011053,NULL,AnaE Price,1986-02-17,M,"F         ",ana0@adventure-works.com,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,NULL,859-555-0113
55,34,AW00011054,NULL,Deanna  Munoz,1957-09-07,M,"F         ",deanna33@adventure-works.com,2,Partial College,Skilled Manual,1,2,5825 B Way,NULL,1 (11) 500 555-0192
56,22,AW00011055,NULL,Gilbert  Raje,1957-09-02,M,"M         ",gilbert35@adventure-works.com,2,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,NULL,1 (11) 500 555-0129
57,10,AW00011056,NULL,MicheleL Nath,1958-10-01,M,"F         ",michele19@adventure-works.com,3,Partial College,Skilled Manual,1,2,5464 Janin Pl.,NULL,1 (11) 500 555-0178
58,5,AW00011057,NULL,CarlJ Andersen,1970-04-07,M,"M         ",carl12@adventure-works.com,2,Graduate Degree,Management,1,2,6930 Lake Nadine Place,NULL,1 (11) 500 555-0181
59,29,AW00011058,NULL,Marc  Diaz,1965-04-23,M,"M         ",marc6@adventure-works.com,2,Partial College,Skilled Manual,1,2,6645 Sinaloa,NULL,1 (11) 500 555-0149
60,27,AW00011059,NULL,AshleeJ Andersen,1959-09-29,S,"F         ",ashlee19@adventure-works.com,2,Partial College,Skilled Manual,1,2,8255 Highland Road,NULL,1 (11) 500 555-0112
61,40,AW00011060,NULL,JonL Zhou,1959-09-14,M,"M         ",jon28@adventure-works.com,2,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,NULL,1 (11) 500 555-0174
62,23,AW00011061,NULL,ToddM Gao,1976-02-20,M,"M         ",todd14@adventure-works.com,2,Partial College,Skilled Manual,1,2,8808 Geneva Ave,NULL,1 (11) 500 555-0191
63,547,AW00011062,NULL,NoahD Powell,1981-03-01,M,"M         ",noah5@adventure-works.com,0,High School,Skilled Manual,1,2,9794 Marion Ct,NULL,767-555-0113
64,634,AW00011063,NULL,Angela  Murphy,1980-10-04,S,"F         ",angela41@adventure-works.com,0,High School,Skilled Manual,1,2,4927 Virgil Street,# 21,451-555-0162
65,315,AW00011064,NULL,Chase  Reed,1981-06-05,M,"M         ",chase21@adventure-works.com,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,NULL,892-555-0184
66,331,AW00011065,NULL,Jessica  Henderson,1979-04-08,M,"F         ",jessica29@adventure-works.com,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,NULL,278-555-0186
67,543,AW00011066,NULL,GraceT Butler,1979-05-27,M,"F         ",grace62@adventure-works.com,0,Partial College,Professional,1,2,4739 Garden Ave.,NULL,712-555-0141
68,632,AW00011067,NULL,CalebF Carter,1982-03-25,S,"M         ",caleb40@adventure-works.com,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,NULL,944-555-0167
69,40,AW00011068,NULL,Tiffany  Liang,1966-09-19,S,"F         ",tiffany17@adventure-works.com,2,High School,Skilled Manual,1,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177
70,23,AW00011069,NULL,Carolyn  Navarro,1966-09-17,S,"F         ",carolyn30@adventure-works.com,2,High School,Skilled Manual,0,2,4606 Springwood Court,NULL,1 (11) 500 555-0145
71,39,AW00011070,NULL,WillieT Raji,1960-10-02,M,"M         ",willie40@adventure-works.com,2,High School,Skilled Manual,1,2,6260 Vernal Drive,NULL,1 (11) 500 555-0151
72,24,AW00011071,NULL,Linda  Serrano,1960-12-23,S,"F         ",linda31@adventure-works.com,2,High School,Skilled Manual,1,2,9808 Shaw Rd.,NULL,1 (11) 500 555-0130
73,17,AW00011072,NULL,Casey  Luo,1960-08-05,S,"F         ",casey6@adventure-works.com,2,High School,Skilled Manual,0,2,9513 Roslyn Drive,NULL,1 (11) 500 555-0125
74,16,AW00011073,NULL,Amy  Ye,1962-02-11,S,"F         ",amy16@adventure-works.com,2,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,NULL,1 (11) 500 555-0185
75,28,AW00011074,NULL,LeviA Arun,1962-02-25,S,"M         ",levi6@adventure-works.com,2,High School,Skilled Manual,1,2,4661 Bluetail,NULL,1 (11) 500 555-0127
76,32,AW00011075,NULL,FeliciaL Jimenez,1963-05-16,S,"F         ",felicia4@adventure-works.com,2,High School,Professional,1,2,786 Eastgate Ave,NULL,1 (11) 500 555-0165
77,19,AW00011076,NULL,Blake  Anderson,1963-01-10,S,"M         ",blake9@adventure-works.com,2,High School,Professional,1,2,5436 Clear,# 101,1 (11) 500 555-0113
78,36,AW00011077,NULL,Leah  Ye,1963-03-19,S,"F         ",leah7@adventure-works.com,2,High School,Professional,0,2,1291 Arguello Blvd.,NULL,1 (11) 500 555-0154
79,49,AW00011078,NULL,GinaE Martin,1985-01-06,S,"F         ",gina1@adventure-works.com,0,High School,Professional,0,2,1349 Sol St.,NULL,196-555-0114
80,34,AW00011079,NULL,Donald  Gonzalez,1970-03-07,S,"M         ",donald20@adventure-works.com,0,Graduate Degree,Management,1,2,4236 Malibu Place,NULL,1 (11) 500 555-0137
81,30,AW00011080,NULL,Damien  Chander,1965-01-13,M,"M         ",damien32@adventure-works.com,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,NULL,1 (11) 500 555-0111
82,311,AW00011081,NULL,SavannahC Baker,1972-01-21,M,"F         ",savannah39@adventure-works.com,2,Bachelors,Management,1,3,1210 Trafalgar Circle,NULL,478-555-0117
83,322,AW00011082,NULL,AngelaL Butler,1972-02-01,S,"F         ",angela17@adventure-works.com,0,Graduate Degree,Management,0,3,6040 Listing Ct,NULL,579-555-0195
84,336,AW00011083,NULL,AlyssaF Cox,1977-03-11,M,"F         ",alyssa37@adventure-works.com,0,Graduate Degree,Management,1,3,867 La Orinda Place,NULL,561-555-0140
85,543,AW00011084,NULL,Lucas  Phillips,1963-03-12,S,"M         ",lucas7@adventure-works.com,2,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,NULL,863-555-0172
86,345,AW00011085,NULL,Emily  Johnson,1963-01-16,S,"F         ",emily1@adventure-works.com,2,High School,Professional,0,2,7926 Stephanie Way,NULL,850-555-0184
87,369,AW00011086,NULL,Ryan  Brown,1963-06-22,M,"M         ",ryan43@adventure-works.com,2,Partial College,Professional,1,0,2939 Wesley Ct.,NULL,539-555-0198
88,307,AW00011087,NULL,TamaraL Liang,1963-04-02,M,"F         ",tamara6@adventure-works.com,3,Partial College,Professional,0,0,3791 Rossmor Parkway,NULL,178-555-0152
89,359,AW00011088,NULL,Hunter  Davis,1963-05-25,M,"M         ",hunter64@adventure-works.com,2,Bachelors,Management,1,0,4308 Sand Pointe Lane,NULL,612-555-0141
90,337,AW00011089,NULL,AbigailM Price,1962-08-05,S,"F         ",abigail25@adventure-works.com,2,Bachelors,Management,1,1,2685 Blackburn Ct,NULL,532-555-0117
91,338,AW00011090,NULL,Trevor  Bryant,1968-12-13,S,"M         ",trevor18@adventure-works.com,2,Partial College,Professional,1,1,5781 Sharon Dr.,NULL,853-555-0174
92,50,AW00011091,NULL,Dalton  Perez,1962-10-02,M,"M         ",dalton37@adventure-works.com,2,Partial College,Professional,1,1,6083 San Jose,NULL,559-555-0115
93,22,AW00011092,NULL,CherylA Diaz,1972-11-02,M,"F         ",cheryl4@adventure-works.com,2,Bachelors,Professional,1,0,7297 Kaywood Drive,NULL,1 (11) 500 555-0192
94,19,AW00011093,NULL,AimeeA He,1978-09-06,M,"F         ",aimee13@adventure-works.com,0,Graduate Degree,Management,1,0,1833 Olympic Drive,NULL,1 (11) 500 555-0161
95,33,AW00011094,NULL,CedricW Ma,1967-09-29,S,"M         ",cedric15@adventure-works.com,1,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,NULL,1 (11) 500 555-0115
96,13,AW00011095,NULL,Chad  Kumar,1968-02-29,S,"M         ",chad9@adventure-works.com,1,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,NULL,1 (11) 500 555-0151
97,12,AW00011096,NULL,Andrés  Anand,1968-02-07,M,"M         ",andrés18@adventure-works.com,1,Bachelors,Professional,1,1,5423 Los Gatos Ct.,NULL,1 (11) 500 555-0184
98,40,AW00011097,NULL,EdwinR Nara,1972-10-23,M,"M         ",edwin39@adventure-works.com,1,Partial College,Skilled Manual,1,1,719 William Way,NULL,1 (11) 500 555-0112
99,14,AW00011098,NULL,MalloryS Rubio,1966-10-29,S,"F         ",mallory7@adventure-works.com,1,Partial College,Skilled Manual,0,1,6452 Harris Circle,NULL,1 (11) 500 555-0157
100,13,AW00011099,NULL,Adam  Ross,1966-09-05,M,"M         ",adam2@adventure-works.com,1,Bachelors,Professional,1,1,4378 Westminster Place,NULL,1 (11) 500 555-0186
101,28,AW00011100,NULL,LatashaL Navarro,1966-03-15,S,"F         ",latasha10@adventure-works.com,1,Partial College,Skilled Manual,1,1,6954 Ranch Road,NULL,1 (11) 500 555-0123
102,33,AW00011101,NULL,AbbyL Sai,1970-11-05,S,"F         ",abby4@adventure-works.com,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,NULL,1 (11) 500 555-0174
103,18,AW00011102,NULL,JuliaL Nelson,1970-10-19,S,"F         ",julia7@adventure-works.com,5,Bachelors,Professional,1,4,2196 Coat Ct.,NULL,1 (11) 500 555-0124
104,3,AW00011103,NULL,Cassie  Chande,1981-04-12,S,"F         ",cassie13@adventure-works.com,0,Bachelors,Professional,1,1,9448 San Marino Ct.,NULL,1 (11) 500 555-0166
