_id,userID,balance,age,name.first,name.last,accountType,accountNumber,accessNumber,gender,employer,email,phone,address,challenge
59d235860e3733b153a3d670,5e63c73b-de13-4776-a41b-bba0527fdbbe,1726.95,21,Deidre,Mcdowell,gold,571-44-8361,95980,female,CYTREK,deidremcdowell@cytrek.com,+1 (844) 416-3931,"584 Junius Street, Hailesboro, Virgin Islands, 9140","[{""phrase"":""dolor officia ipsum"",""answer"":""elit""},{""phrase"":""deserunt officia cupidatat"",""answer"":""ex""},{""phrase"":""veniam enim irure"",""answer"":""tempor""}]"
59d235860e3733b153a3d683,e5739d6f-3473-4d38-b19a-cd21ce830233,1288.62,42,Wilda,Herring,gold,750-22-4258,83684,female,NAMEBOX,wildaherring@namebox.com,+1 (877) 446-2833,"358 Dupont Street, Trail, Delaware, 4139","[{""phrase"":""sunt magna est"",""answer"":""eu""},{""phrase"":""non id laborum"",""answer"":""deserunt""},{""phrase"":""deserunt labore duis"",""answer"":""ea""}]"
59d235860e3733b153a3d668,b212fa84-642b-45cf-8d11-fc27b1b07052,3485.90,31,Ursula,Ellison,gold,413-55-6444,75673,female,MARKETOID,ursulaellison@marketoid.com,+1 (834) 488-2993,"753 Willoughby Avenue, Nord, Virginia, 683","[{""phrase"":""qui velit velit"",""answer"":""veniam""},{""phrase"":""consequat qui tempor"",""answer"":""sit""},{""phrase"":""deserunt esse adipisicing"",""answer"":""esse""}]"
59d235860e3733b153a3d66b,c464a5c4-ab42-46dc-89bb-043a5ea72a04,1409.10,36,Jefferson,Wallace,silver,720-91-6906,90801,male,MIRACULA,jeffersonwallace@miracula.com,+1 (832) 517-2751,"819 Fenimore Street, Rockbridge, Marshall Islands, 8914","[{""phrase"":""qui nostrud ex"",""answer"":""incididunt""},{""phrase"":""velit labore non"",""answer"":""id""},{""phrase"":""proident officia proident"",""answer"":""ex""}]"
59d235860e3733b153a3d696,dd2cfa99-bb72-405d-ba91-5ae38f34f574,3887.55,40,Davis,Hopkins,platinum,858-70-6950,39953,male,KAGGLE,davishopkins@kaggle.com,+1 (838) 556-3408,"485 Lorimer Street, Hillsboro, Washington, 6686","[{""phrase"":""labore ex in"",""answer"":""dolor""},{""phrase"":""do nisi enim"",""answer"":""mollit""},{""phrase"":""reprehenderit duis dolore"",""answer"":""est""}]"
59d235860e3733b153a3d672,29358b70-cba2-4e8e-a4dc-e21098feabe2,1637.32,24,Liza,Carlson,silver,981-95-9729,38906,female,SYNTAC,lizacarlson@syntac.com,+1 (950) 426-3724,"316 Vermont Street, Cascades, Oklahoma, 7727","[{""phrase"":""do sunt deserunt"",""answer"":""non""},{""phrase"":""mollit exercitation reprehenderit"",""answer"":""eiusmod""},{""phrase"":""aliquip labore irure"",""answer"":""sit""}]"
59d235860e3733b153a3d678,479e9579-fc5e-4d65-b6b9-8eea4b41573e,1630.58,31,Cassie,Alexander,gold,273-24-3431,47995,female,COMFIRM,cassiealexander@comfirm.com,+1 (810) 533-3758,"289 Schweikerts Walk, Newcastle, Nebraska, 6673","[{""phrase"":""veniam adipisicing sunt"",""answer"":""sit""},{""phrase"":""incididunt sint in"",""answer"":""eu""},{""phrase"":""exercitation officia mollit"",""answer"":""et""}]"
59d235860e3733b153a3d671,58886a74-f752-4b25-8472-6cb439b69d13,1541.55,20,Lucile,Everett,silver,361-36-7640,34564,female,ZYTRAC,lucileeverett@zytrac.com,+1 (945) 582-3162,"306 Navy Walk, Aurora, American Samoa, 9332","[{""phrase"":""quis officia voluptate"",""answer"":""magna""},{""phrase"":""in elit pariatur"",""answer"":""magna""},{""phrase"":""dolor reprehenderit ullamco"",""answer"":""cillum""}]"
59d235860e3733b153a3d676,5cb6ccb9-2155-46cc-8578-efe28bc2a8b5,3041.00,29,Camacho,Juarez,silver,920-92-9569,69455,male,MUSAPHICS,camachojuarez@musaphics.com,+1 (831) 537-3516,"545 Village Road, Englevale, New Hampshire, 6041","[{""phrase"":""ad anim proident"",""answer"":""cillum""},{""phrase"":""ea Lorem pariatur"",""answer"":""sit""},{""phrase"":""anim amet magna"",""answer"":""proident""}]"
59d235860e3733b153a3d67c,9eeb864e-9f9c-4422-b2ab-42f13dfd1e69,1690.36,25,Aurelia,Harvey,silver,249-81-8921,82847,female,EXOSWITCH,aureliaharvey@exoswitch.com,+1 (885) 533-2282,"172 Berriman Street, Boling, Tennessee, 6130","[{""phrase"":""consectetur aliquip est"",""answer"":""dolore""},{""phrase"":""deserunt adipisicing excepteur"",""answer"":""consectetur""},{""phrase"":""labore ut laborum"",""answer"":""laboris""}]"
