_id,employee_ID,acl,employee_compensation.acl,employee_compensation.salary,employee_compensation.stock_award,employee_compensation.programs.acl,employee_compensation.programs.401K_contrib,employee_compensation.programs.health_plan,employee_compensation.programs.spp,employee_grade,team,age,first_name,last_name,gender,phone,address
59d288690e3733b153a9397f,7d735016-4f9e-4322-87cf-54a313038caf,"[""HR"",""Management"",""Finance"",""Executive""]","[""Management"",""Finance"",""Executive""]",122519,4880,"[""Finance"",""Executive""]",0,true,0.05,3,Blue,50,Brown,Christian,male,+1 (927) 508-3083,"564 Powers Street, Waumandee, Virgin Islands, 58090"
59d288690e3733b153a93970,22d4d4a4-2003-4978-bed4-0e6e5ae4a575,"[""HR"",""Management"",""Finance"",""Executive""]","[""Management"",""Finance"",""Executive""]",101450,3835,"[""Finance"",""Executive""]",0.01,false,0.09,1,Violet,42,Sonya,Buchanan,female,+1 (822) 566-3511,"320 Boerum Street, Vincent, Connecticut, 10860"
59d288690e3733b153a9396f,67708991-7f75-4d81-a813-910f6157b93b,"[""HR"",""Management"",""Finance"",""Executive""]","[""Management"",""Finance"",""Executive""]",108955,4368,"[""Finance"",""Executive""]",0.19,false,0.1,3,Blue,35,Powell,Hooper,male,+1 (926) 480-2166,"759 Orange Street, Riviera, Kentucky, 61632"
59d288690e3733b153a9396e,d988de52-daf0-4bc7-ab6d-36aef266dadd,"[""HR"",""Management"",""Finance"",""Executive""]","[""Management"",""Finance"",""Executive""]",122869,1636,"[""Finance"",""Executive""]",0.09,true,0.03,3,Orange,30,Cheryl,Garcia,female,+1 (896) 575-3288,"466 Sharon Street, Irwin, Arkansas, 78322"
59d288690e3733b153a93984,e6f8cf0f-151b-4706-9b09-fae99d364a41,"[""HR"",""Management"",""Finance"",""Executive""]","[""Management"",""Finance"",""Executive""]",159615,1439,"[""Finance"",""Executive""]",0.02,true,0.08,1,Red,18,Daphne,Bennett,female,+1 (863) 425-3543,"547 Garden Street, Hemlock, Puerto Rico, 60070"
59d288690e3733b153a93973,8793efae-2189-477f-a309-c572697da63c,"[""HR"",""Management"",""Finance"",""Executive""]","[""Management"",""Finance"",""Executive""]",143357,1858,"[""Finance"",""Executive""]",0.25,true,0.03,1,Blue,22,Jewel,Swanson,female,+1 (888) 566-3895,"864 Baycliff Terrace, Bluffview, Oklahoma, 56789"
59d288690e3733b153a93999,bb990de9-62c7-460a-902f-f2a3823ccbe1,"[""HR"",""Management"",""Finance"",""Executive""]","[""Management"",""Finance"",""Executive""]",150988,1206,"[""Finance"",""Executive""]",0.01,false,0.1,3,Yellow,42,Rae,Hewitt,female,+1 (962) 506-2899,"850 Townsend Street, Crown, Delaware, 44282"
59d288690e3733b153a93972,55884535-7c2c-4bf1-b974-d26c642d38c3,"[""HR"",""Management"",""Finance"",""Executive""]","[""Management"",""Finance"",""Executive""]",128722,2074,"[""Finance"",""Executive""]",0.19,false,0,2,Indigo,30,Castillo,Barber,male,+1 (927) 537-2001,"484 Fuller Place, Efland, New Mexico, 14661"
59d288690e3733b153a93977,d8282d2b-7703-4dd4-a838-5779e82c4460,"[""HR"",""Management"",""Finance"",""Executive""]","[""Management"",""Finance"",""Executive""]",100316,3600,"[""Finance"",""Executive""]",0.14,true,0.06,1,Yellow,55,Etta,Noel,female,+1 (817) 557-2538,"533 Voorhies Avenue, Alden, New York, 27190"
59d288690e3733b153a93987,799b449e-be36-46bc-8b85-403c16ea0f0c,"[""HR"",""Management"",""Finance"",""Executive""]","[""Management"",""Finance"",""Executive""]",149741,3631,"[""Finance"",""Executive""]",0.07,false,0.07,2,Yellow,44,Stephanie,Erickson,female,+1 (815) 592-2387,"136 Harkness Avenue, Kapowsin, Washington, 39768"
